Voltage,S_mm2,Brand,Cable,OD_iso_mm
15 kV,16,Induscabos,Cabo Epronax Slim 105,13.0
15 kV,25,Induscabos,Cabo Epronax Slim 105,13.2
15 kV,35,Induscabos,Cabo Epronax Slim 105,14.3
15 kV,50,Induscabos,Cabo Epronax Slim 105,15.3
15 kV,70,Induscabos,Cabo Epronax Slim 105,16.8
15 kV,95,Induscabos,Cabo Epronax Slim 105,18.5
15 kV,120,Induscabos,Cabo Epronax Slim 105,19.9
15 kV,150,Induscabos,Cabo Epronax Slim 105,21.0
15 kV,185,Induscabos,Cabo Epronax Slim 105,22.7
15 kV,240,Induscabos,Cabo Epronax Slim 105,26.2
15 kV,300,Induscabos,Cabo Epronax Slim 105,28.7
15 kV,400,Induscabos,Cabo Epronax Slim 105,31.5
15 kV,500,Induscabos,Cabo Epronax Slim 105,34.6
25 kV,35,Induscabos,Cabo Epronax Slim 105,20.7
25 kV,50,Induscabos,Cabo Epronax Slim 105,20.3
25 kV,70,Induscabos,Cabo Epronax Slim 105,21.8
25 kV,95,Induscabos,Cabo Epronax Slim 105,23.5
25 kV,120,Induscabos,Cabo Epronax Slim 105,24.9
35 kV,50,Induscabos,Cabo Epronax Slim 105,25.7
35 kV,70,Induscabos,Cabo Epronax Slim 105,25.8
35 kV,95,Induscabos,Cabo Epronax Slim 105,27.5
35 kV,120,Induscabos,Cabo Epronax Slim 105,28.9
35 kV,150,Induscabos,Cabo Epronax Slim 105,30.0
35 kV,185,Induscabos,Cabo Epronax Slim 105,29.7
35 kV,240,Induscabos,Cabo Epronax Slim 105,32.2
35 kV,300,Induscabos,Cabo Epronax Slim 105,34.7
35 kV,400,Induscabos,Cabo Epronax Slim 105,37.5
35 kV,500,Induscabos,Cabo Epronax Slim 105,40.6
15 kV,16,Induscabos,Cabo Epronax AL Slim 105,13.0
15 kV,25,Induscabos,Cabo Epronax AL Slim 105,13.2
15 kV,35,Induscabos,Cabo Epronax AL Slim 105,14.3
15 kV,50,Induscabos,Cabo Epronax AL Slim 105,15.5
15 kV,70,Induscabos,Cabo Epronax AL Slim 105,17.1
15 kV,95,Induscabos,Cabo Epronax AL Slim 105,19.0
15 kV,120,Induscabos,Cabo Epronax AL Slim 105,20.4
15 kV,150,Induscabos,Cabo Epronax AL Slim 105,22.0
15 kV,185,Induscabos,Cabo Epronax AL Slim 105,23.5
15 kV,240,Induscabos,Cabo Epronax AL Slim 105,26.7
15 kV,300,Induscabos,Cabo Epronax AL Slim 105,28.7
15 kV,400,Induscabos,Cabo Epronax AL Slim 105,31.5
15 kV,500,Induscabos,Cabo Epronax AL Slim 105,34.4
25 kV,35,Induscabos,Cabo Epronax AL Slim 105,20.7
25 kV,50,Induscabos,Cabo Epronax AL Slim 105,20.5
25 kV,70,Induscabos,Cabo Epronax AL Slim 105,22.1
25 kV,95,Induscabos,Cabo Epronax AL Slim 105,24.0
25 kV,120,Induscabos,Cabo Epronax AL Slim 105,25.4
25 kV,150,Induscabos,Cabo Epronax AL Slim 105,27.0
25 kV,185,Induscabos,Cabo Epronax AL Slim 105,28.5
25 kV,240,Induscabos,Cabo Epronax AL Slim 105,29.7
25 kV,300,Induscabos,Cabo Epronax AL Slim 105,31.7
25 kV,400,Induscabos,Cabo Epronax AL Slim 105,34.5
25 kV,500,Induscabos,Cabo Epronax AL Slim 105,37.4
35 kV,50,Induscabos,Cabo Epronax AL Slim 105,25.9
35 kV,70,Induscabos,Cabo Epronax AL Slim 105,26.1
35 kV,95,Induscabos,Cabo Epronax AL Slim 105,28.0
35 kV,120,Induscabos,Cabo Epronax AL Slim 105,29.4
35 kV,150,Induscabos,Cabo Epronax AL Slim 105,31.0
35 kV,185,Induscabos,Cabo Epronax AL Slim 105,30.5
35 kV,240,Induscabos,Cabo Epronax AL Slim 105,32.7
35 kV,300,Induscabos,Cabo Epronax AL Slim 105,34.7
35 kV,400,Induscabos,Cabo Epronax AL Slim 105,37.5
35 kV,500,Induscabos,Cabo Epronax AL Slim 105,40.4
15 kV,25,Induscabos,Cabo Epronax 105,16.2
15 kV,35,Induscabos,Cabo Epronax 105,17.3
15 kV,50,Induscabos,Cabo Epronax 105,18.5
15 kV,70,Induscabos,Cabo Epronax 105,19.8
15 kV,95,Induscabos,Cabo Epronax 105,21.5
15 kV,120,Induscabos,Cabo Epronax 105,22.9
15 kV,150,Induscabos,Cabo Epronax 105,24.0
15 kV,185,Induscabos,Cabo Epronax 105,25.7
15 kV,240,Induscabos,Cabo Epronax 105,28.6
15 kV,300,Induscabos,Cabo Epronax 105,30.7
15 kV,400,Induscabos,Cabo Epronax 105,33.5
15 kV,500,Induscabos,Cabo Epronax 105,36.6
15 kV,25,Induscabos,Cabo Epronax 105,16.2
15 kV,35,Induscabos,Cabo Epronax 105,17.3
15 kV,50,Induscabos,Cabo Epronax 105,18.5
15 kV,70,Induscabos,Cabo Epronax 105,19.8
15 kV,95,Induscabos,Cabo Epronax 105,21.5
15 kV,120,Induscabos,Cabo Epronax 105,22.9
15 kV,150,Induscabos,Cabo Epronax 105,24.0
15 kV,185,Induscabos,Cabo Epronax 105,25.7
15 kV,240,Induscabos,Cabo Epronax 105,28.6
15 kV,300,Induscabos,Cabo Epronax 105,30.7
15 kV,400,Induscabos,Cabo Epronax 105,33.5
15 kV,500,Induscabos,Cabo Epronax 105,36.6
25 kV,50,Induscabos,Cabo Epronax 105,23.1
25 kV,70,Induscabos,Cabo Epronax 105,24.4
25 kV,95,Induscabos,Cabo Epronax 105,26.1
25 kV,120,Induscabos,Cabo Epronax 105,27.5
25 kV,150,Induscabos,Cabo Epronax 105,28.6
25 kV,185,Induscabos,Cabo Epronax 105,30.3
25 kV,240,Induscabos,Cabo Epronax 105,33.2
25 kV,300,Induscabos,Cabo Epronax 105,35.3
25 kV,400,Induscabos,Cabo Epronax 105,38.1
25 kV,500,Induscabos,Cabo Epronax 105,41.2
35 kV,50,Induscabos,Cabo Epronax 105,27.1
35 kV,70,Induscabos,Cabo Epronax 105,28.4
35 kV,95,Induscabos,Cabo Epronax 105,30.1
35 kV,120,Induscabos,Cabo Epronax 105,31.5
35 kV,150,Induscabos,Cabo Epronax 105,32.6
35 kV,185,Induscabos,Cabo Epronax 105,34.3
35 kV,240,Induscabos,Cabo Epronax 105,37.2
35 kV,300,Induscabos,Cabo Epronax 105,39.3
35 kV,400,Induscabos,Cabo Epronax 105,42.1
35 kV,500,Induscabos,Cabo Epronax 105,45.2
15 kV,25,Induscabos,Cabo Epronax AL 105,16.2
15 kV,35,Induscabos,Cabo Epronax AL 105,17.3
15 kV,50,Induscabos,Cabo Epronax AL 105,18.5
15 kV,70,Induscabos,Cabo Epronax AL 105,20.1
15 kV,95,Induscabos,Cabo Epronax AL 105,22.0
15 kV,120,Induscabos,Cabo Epronax AL 105,23.4
15 kV,150,Induscabos,Cabo Epronax AL 105,25.0
15 kV,185,Induscabos,Cabo Epronax AL 105,26.5
15 kV,240,Induscabos,Cabo Epronax AL 105,28.7
15 kV,300,Induscabos,Cabo Epronax AL 105,30.7
15 kV,400,Induscabos,Cabo Epronax AL 105,33.5
15 kV,500,Induscabos,Cabo Epronax AL 105,36.4
25 kV,50,Induscabos,Cabo Epronax AL 105,23.1
25 kV,70,Induscabos,Cabo Epronax AL 105,24.7
25 kV,95,Induscabos,Cabo Epronax AL 105,26.6
25 kV,120,Induscabos,Cabo Epronax AL 105,28.0
25 kV,150,Induscabos,Cabo Epronax AL 105,29.6
25 kV,185,Induscabos,Cabo Epronax AL 105,31.1
25 kV,240,Induscabos,Cabo Epronax AL 105,33.3
25 kV,300,Induscabos,Cabo Epronax AL 105,35.3
25 kV,400,Induscabos,Cabo Epronax AL 105,38.1
25 kV,500,Induscabos,Cabo Epronax AL 105,41.0
15 kV,25,Induscabos,Cabo Epronax 105,16.2
15 kV,35,Induscabos,Cabo Epronax 105,17.3
15 kV,50,Induscabos,Cabo Epronax 105,18.5
15 kV,70,Induscabos,Cabo Epronax 105,19.8
15 kV,95,Induscabos,Cabo Epronax 105,21.5
15 kV,120,Induscabos,Cabo Epronax 105,22.9
15 kV,150,Induscabos,Cabo Epronax 105,24.0
15 kV,185,Induscabos,Cabo Epronax 105,25.7
15 kV,240,Induscabos,Cabo Epronax 105,28.6
15 kV,300,Induscabos,Cabo Epronax 105,30.7
15 kV,400,Induscabos,Cabo Epronax 105,33.5
15 kV,500,Induscabos,Cabo Epronax 105,36.6
25 kV,50,Induscabos,Cabo Epronax 105,23.1
25 kV,70,Induscabos,Cabo Epronax 105,24.4
25 kV,95,Induscabos,Cabo Epronax 105,26.1
25 kV,120,Induscabos,Cabo Epronax 105,27.5
25 kV,150,Induscabos,Cabo Epronax 105,28.6
25 kV,185,Induscabos,Cabo Epronax 105,30.3
25 kV,240,Induscabos,Cabo Epronax 105,33.2
25 kV,300,Induscabos,Cabo Epronax 105,35.3
25 kV,400,Induscabos,Cabo Epronax 105,38.1
25 kV,500,Induscabos,Cabo Epronax 105,41.2
35 kV,50,Induscabos,Cabo Epronax 105,27.1
35 kV,70,Induscabos,Cabo Epronax 105,28.4
35 kV,95,Induscabos,Cabo Epronax 105,30.1
35 kV,120,Induscabos,Cabo Epronax 105,31.5
35 kV,150,Induscabos,Cabo Epronax 105,32.6
35 kV,185,Induscabos,Cabo Epronax 105,34.3
35 kV,240,Induscabos,Cabo Epronax 105,37.2
35 kV,300,Induscabos,Cabo Epronax 105,39.3
35 kV,400,Induscabos,Cabo Epronax 105,42.1
35 kV,500,Induscabos,Cabo Epronax 105,45.2
15 kV,35,Induscabos,Cabo Indulink,17.3
15 kV,50,Induscabos,Cabo Indulink,18.5
15 kV,70,Induscabos,Cabo Indulink,19.8
15 kV,95,Induscabos,Cabo Indulink,21.5
15 kV,120,Induscabos,Cabo Indulink,22.9
15 kV,150,Induscabos,Cabo Indulink,24.0
15 kV,185,Induscabos,Cabo Indulink,25.7
15 kV,240,Induscabos,Cabo Indulink,28.6
15 kV,300,Induscabos,Cabo Indulink,30.7
15 kV,400,Induscabos,Cabo Indulink,33.5
15 kV,500,Induscabos,Cabo Indulink,36.6
25 kV,50,Induscabos,Cabo Indulink,23.1
25 kV,70,Induscabos,Cabo Indulink,24.4
25 kV,95,Induscabos,Cabo Indulink,26.1
25 kV,120,Induscabos,Cabo Indulink,27.5
25 kV,150,Induscabos,Cabo Indulink,28.6
25 kV,185,Induscabos,Cabo Indulink,30.3
25 kV,240,Induscabos,Cabo Indulink,33.2
25 kV,300,Induscabos,Cabo Indulink,35.3
25 kV,400,Induscabos,Cabo Indulink,38.1
25 kV,500,Induscabos,Cabo Indulink,41.2
35 kV,50,Prysmian,Cabo Eprotenax Compact,25.9
